a 		一個;一隻
ability 	能力;才能;技能
able		有能力的;可能的
about		大約;有關
above 		在...上面
abroad 		在國外;到處
absent 		缺席的;漫不經心的
accent 		重音;特點
accept 		接受;承認
accident	意外事件;車禍;事故
account		帳目;存摺;利益
across 		在...對面;穿過
act 		行為;表演;舉止
action 		行動;動作
active 		活動的;有生氣的
activity 	活動
actor 		男演員;演員(通稱)
actress 	女演員
actual		事實上;現實的
actually 	實際上;事實上
add 		增加;添加
address 	地址
admire 		欽佩;讚美;羨慕
adult 		已成人的;成年人
adventure 	冒險;投機
advice		勸告;忠言;建議
advise		勸告;通知
afraid		怕;害怕
after		在...之後
afternoon	下午
afterward	後來;以後
again		又;再度
against		反對
age		年齡
agency		代理處;經銷處
agent		代理商;經銷商
ago		以前;之前
agree		同意;一致
ah		啊
ahead		預先;在前面
aim		瞄準;靶子
air		空氣
airline		航空公司
airplane	飛機
airport		機場
album		唱片專輯;相簿
alive		活著的;生龍活虎的
all		一切
allow		允許;容許
almond		杏仁
almost		幾乎;差不多
alone		單獨的;獨自
along		沿著;循著
alphabet	字母表
already		已經
also		同樣;也
always		永遠;始終
am		是
among		在..中間;之中
amount		數量;合計
an		一個
and		和;與;而且
angel		天使;安琪兒
anger		氣憤;怒氣;激怒
angry		生氣的
animal		動物
announce	宣佈;發表
another		另一個;另一人
answer		答案;回答
ant		螞蟻
anxious		憂慮的;擔心的
any		任何的;一點也
anybody		任何人
anyone		任何一個人
anything	任何事務
anyway		不管怎樣;無論如何
anywhere	無論哪裡;任何地方
apart		離散地;分離地
apartment	公寓
appear		出現;顯得
appearance	出現;外表
apple		蘋果
apply		適用;提出;申請
approach	靠近;接近
april		四月
apron		圍裙
are		是
area		空地;地圖
arm		手臂
army		陸軍;一大群
around		安排;整理
arrangement	安排;準備
arrival		抵達;抵達的
arrive		抵達
art		藝術 
artist		藝術家;美術家
as		像...一樣;例如
aside		在旁邊;到一邊
ask		發問;要求
asleep		睡著的
assist		援助;幫助
at		在...;正在..上
attack		攻擊
attend		出席;注意
attention	注意;專心
audience	聽眾;觀眾;接見
august		八月
aunt		姨母;姑母;伯母
automobile	汽車
autumn		秋;秋季
awake		喚醒;醒來
aware		意識到;察覺到
away		距離;不在的
awful		可怕的;令人崇敬的

baby		嬰兒
back		背部;回來
backward	向後的;相反的
bacon		醺豬肉;培根
bad		不好;壞的
badly		壞地;有害地
